CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
1st-place-medal,,,1st Place Medal was approved as part of Unicode 9.0 in 2016 under the name “First Place Medal” and added to Emoji 3.0 in 2016.,
2nd-place-medal,,,2nd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Second Place Medal” and added to Emoji 3.0 in 2016.,
3rd-place-medal,,,3rd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Third Place Medal” and added to Emoji 3.0 in 2016.,
a-button-blood-type,A symbol representing Blood Type A. Displayed as the letter A on a red background.,,A Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin Capital Letter A” and added to Emoji 1.0 in 2015.,
ab-button-blood-type,A symbol representing Blood Type AB. Displayed as the letters AB on a red background.,,AB Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared AB” and added to Emoji 1.0 in 2015.,
abacus,"An abacus, an ancient tool used to count and calculate by moving beads. Depicted as a wooden frame with four or more rows or columns of variously positioned and colored beads. Used for various content concerning mathematics and science (education) as well as calculations, counting, and numbers more generally. Designs from Apple and Facebook resemble a Chinese abacus (suanpan), as did a previous Microsoft design. By one reckoning, Apple’s red-beaded design displays the number 108 and Emojipedia's, 12,031,981.",,Abacus was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
accordion,"A red accordion with a keyboard on one side, buttons on the other side, and bellows in the middle. Used to talk about accordion music or music in general. Also may be used in reference to things that expand and contract, or are folded like the bellows of an accordion.",,Accordion was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,
adhesive-bandage,An adhesive bandage used for first aid. Sometimes called a Band-Aid or band aid after the trademarked product. Sometimes called a plaster. ,,Adhesive Bandage was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
admission-tickets,"A ticket or tickets to an event that may say ""Admit One"" on the front. Shown in pink or yellow on most platforms.",,Admission Tickets was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
aerial-tramway,"An Aerial Tramway, most commonly seen at ski resorts, for transport between locations on a mountain. Can also be used as a tourist attraction, or as a form of public transport.",,Aerial Tramway was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
airplane-arrival,"A plane approaching a runway for landing. Generally displayed left-right, with the front of the plane facing toward the ground in a position that may result in a crash if attempted in the real world.",,Airplane Arrival was approved as part of Unicode 7.0 in 2014 under the name “Airplane Arriving” and added to Emoji 1.0 in 2015.,
airplane-departure,"A plane taking off from a runway. Generally displayed left-right, with the front of the plane elevated.",,Airplane Departure was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
airplane,"Used either as a literal airplane, to represent an overseas vacation, or sometimes as a proxy for airplane mode on a phone or tablet. Use of this emoji declined in April 2020, potentially as a result of global air travel limitations.",,Airplane was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
alarm-clock,"A timepiece set in advance to startle a person awake at the designated time with its two bells. That is, before hitting snooze. Appearance varies across platforms, but depicted as a classic, wind-up, bedside alarm clock, often red in color. May be used for various content concerning alarms, alerts, sleeping, waking, and time more generally.",,Alarm Clock was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
alembic,"An apparatus for distilling, as used in medieval alchemy. Generally depicted as a round flask with a neck angled down to the right. Positioned on a short stand and containing a mysterious green, purple, or blue liquid. Commonly used for various content concerning chemistry and science more generally. May represent various liquids, such as potions or medicines, as well as metaphorical laboratories and experiments. Thanks to the alembic’s association with alchemy, this emoji may also convey a sense of magic. And, thanks to its resemblance to a glass pipe, some use the emoji to represent a bong or other drug paraphernalia. Samsung’s design previously featured a copper still, as used for making whiskey.",,Alembic was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015.,
alien-monster,"A friendly-looking, tentacled space creature with two eyes. Most major platforms style their design after aliens in classic arcade games like Space Invaders, rendering it purple and pixellated, as if in 8-bit graphics. Samsung’s design resembles an octopus and previously featured a big-brained alien, à la Star Trek. Earlier designs from Google and Microsoft depicted more cartoon-like alien monsters. May be used of topics concerning extraterrestrial life, outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as conveying a sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting Yay! on many platforms.",,Alien Monster was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
alien,"A classic alien face. The oval, bare head of a gray or green alien with large black eyes and a slight, friendly smile. Samsung depicts nostrils, Facebook a nose. May represent extraterrestrial life or topics concerning outer space, but commonly conveys a playful sense of weirdness or strangeness, as if someone or something is out there or from another planet. Available as an Apple Animoji. Apple previously displayed a similar looking alien head in a box as a placeholder for an unknown emoji, but now shows a boxed question mark.",,Alien was approved as part of Unicode 6.0 in 2010 under the name “Extraterrestrial Alien” and added to Emoji 1.0 in 2015.,
ambulance,"An ambulance, used to transport patients between their home and the hospital.",,Ambulance was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
american-football,"The oval ball used in the game of American football, known as gridiron in some countries.",,American Football was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
amphora,"A tall, ceramic jar with two handles and a narrow neck and foot. Represents an amphora, as used by ancient Greeks and Romans to hold water and wine. Generally depicted as brownish-red earthenware ornamented with black and a Greek meander pattern. May represent containers like vases, pottery, museums, history, and antiquity. May also be used in relation to the zodiac sign of Aquarius, the Water-Bearer. Not to be confused with ⚱️ Funeral Urn.",,Amphora was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.,
anatomical-heart,"A red anatomical heart, shown with blue or purple veins on some platforms. Sometimes used interchangeably with ❤️ Red Heart.",,Anatomical Heart was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,
anchor,"A metal device, dropped out of a boat to prevent it drifting away from the current location. An anchor also refers to a place on a webpage that may be directly linked to, rather than simply loading a page and requiring a user to scroll to the correct location.",,Anchor was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015.,
anger-symbol,"A red symbol found in Anime/Manga and used to represent the veins popping on a very angry person. Also used in other comic books to indicate a punch landed, perhaps next to the words “Bam” or “Pow”.",,Anger Symbol was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
angry-face-with-horns,"A face, usually purple, with two devil horns, frowning mouth and eyes, and eyebrows scrunched downwards in anger. Bears the same expression as 😠 Angry Face and 😡 Pouting Face on most platforms. Google’s design is red and Facebook’s has black horns, green eyes, and clenched teeth. Its Unicode name, Imp, alludes to a small demon in folklore, though the smiley is commonly used to represent devils and devilish behavior, especially around Halloween. It is also used to convey various sentiments of anger or ideas of evil. More menacing than its counterpart, 😈 Smiling Face With Horns. Samsung previously depicted a childlike character with red hair and horns, fangs, and black wings. Earlier designs from Google featured an orangish-red character with blue hair and wings.",,Angry Face with Horns was approved as part of Unicode 6.0 in 2010 under the name “Imp” and added to Emoji 1.0 in 2015.,
angry-face,"A yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger. Conveys varying degrees of anger, from grumpiness and irritation to disgust and outrage. May also represent someone acting tough or being mean. Samsung’s design previously featured a reddish face with clenched teeth and wrinkled chin. Google’s design also previously featured a reddish face, while Facebook’s and Microsoft's earlier designs had clenched teeth.",,Angry Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
anguished-face,"A yellow face with small, open eyes, open frown, and raised eyebrows. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey alarm, confusion, or sadness, as if gasping in shock or concern. Bears the same eyes and mouth as 😦 Frowning Face With Open Mouth on most platforms, but its eyebrows give it a more surprised expression.",,Anguished Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.,
ant,"An ant, a small, industrious insect that lives in a colony. Depicted as a black or red ant in full profile on its six legs facing left, with a prominent abdomen and antennae. May be used to represent various insects or other bugs. Facebook’s ant is red, as was a previous Microsoft design. Google’s ant was previously blue, Facebook’s black.",,Ant was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
antenna-bars,"Bars increasing in height, showing the strength of the mobile (cellular) phone signal. More bars signifies better reception.",,Antenna Bars was approved as part of Unicode 6.0 in 2010 under the name “Antenna with Bars” and added to Emoji 1.0 in 2015.,
anxious-face-with-sweat,"A face with open eyes and a small, open frown. Its eyebrows are furrowed, with a single bead of cold sweat dripping down, and its forehead is pale blue, as if experiencing a cold flash. Samsung's design shows upper teeth and tongue. Meaning widely varies, but commonly conveys such feelings as sadness, disappointment, fear, and anxiety. Similar to 😥 Sad but Relieved Face, but with a blue head and larger frown. Not to be confused with 😢 Crying Face, 😪 Sleepy Face, or other emojis with tear or sweat droplets. Microsoft and Samsung previously featured smileys that appeared more excited in expression.",,Anxious Face with Sweat was approved as part of Unicode 6.0 in 2010 under the name “Face with Open Mouth and Cold Sweat” and added to Emoji 1.0 in 2015.,
aquarius,The Aquarius astrological sign in the Zodiac. This Zodiac Symbol represents a Water-bearer.,,Aquarius was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
