CLDR,Meaning,Note,Unicode
1st-place-medal,[],[],['\n1st Place Medal was approved as part of Unicode 9.0 in 2016 under the name “First Place Medal” and added to Emoji 3.0 in 2016.\n']
2nd-place-medal,[],[],['\n2nd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Second Place Medal” and added to Emoji 3.0 in 2016.\n']
3rd-place-medal,[],[],['\n3rd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Third Place Medal” and added to Emoji 3.0 in 2016.\n']
a-button-blood-type,['A symbol representing Blood Type A. Displayed as the letter A on a red background.'],[],['\nA Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin Capital Letter A” and added to Emoji 1.0 in 2015.\n']
ab-button-blood-type,['A symbol representing Blood Type AB.\xa0Displayed as the letters AB on a red background.'],[],['\nAB Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared AB” and added to Emoji 1.0 in 2015.\n']
abacus,"['An abacus, an ancient tool used to count and calculate by moving beads. Depicted as a wooden frame with four or more rows or columns of variously positioned and colored beads.', 'Used for various content concerning mathematics and science (education) as well as calculations,\xa0counting, and numbers more generally.', ""Designs from Apple\xa0and Facebook resemble a Chinese abacus (suanpan), as did a previous Microsoft design. By one reckoning, Apple’s red-beaded\xa0design displays the number 108 and Emojipedia's, 12,031,981.""]",[],['\nAbacus was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.\n']
accordion,"['A red accordion with a keyboard on one side, buttons on the other side, and bellows in the middle. Used to talk about accordion music or music in general. Also may be used in reference to things that expand and contract, or are folded like the bellows of an accordion.']",[],['\nAccordion was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.\n']
adhesive-bandage,['An adhesive bandage used for first aid. Sometimes called a Band-Aid or band aid\xa0after the trademarked product. Sometimes called a plaster.\n\xa0'],[],['\nAdhesive Bandage was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.\n']
admission-tickets,"['A ticket or tickets to an event that may say ""Admit One"" on the front. Shown in pink or yellow on most platforms.']",[],['\nAdmission Tickets was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.\n']
aerial-tramway,"['An Aerial Tramway, most commonly seen at ski resorts, for transport between locations on a mountain. Can also be used as a tourist attraction, or as a form of public transport.']",[],['\nAerial Tramway was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
airplane-arrival,"['A plane approaching a\xa0runway for landing. Generally displayed left-right, with the front of the plane facing toward the ground in a position that may result in a crash if attempted in the real world.']",[],['\nAirplane Arrival was approved as part of Unicode 7.0 in 2014 under the name “Airplane Arriving” and added to Emoji 1.0 in 2015.\n']
airplane-departure,"['A plane taking off from a runway. Generally displayed left-right, with the front of the plane elevated.']",[],['\nAirplane Departure was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.\n']
airplane,"['Used\xa0either as a literal airplane, to represent an overseas vacation, or sometimes as a proxy for\xa0airplane mode on a phone or tablet.', 'Use of this emoji declined in April 2020, potentially as a result of global air travel limitations.']",[],['\nAirplane was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.\n']
alarm-clock,"['A timepiece set in advance to startle a person awake at the designated time with its two bells. That is, before hitting snooze.\xa0Appearance varies across platforms, but depicted as a classic, wind-up, bedside alarm clock, often red in color.', 'May be used for various content concerning alarms, alerts, sleeping, waking, and time more generally.']",[],['\nAlarm Clock was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
alembic,"['An apparatus for distilling, as used in medieval alchemy. Generally depicted as a round flask with a neck angled down to the right. Positioned on a short stand and containing a mysterious green, purple, or blue liquid.', 'Commonly used for various content concerning chemistry and science more generally. May represent various liquids, such as potions or\xa0medicines, as well as metaphorical laboratories and experiments.', 'Thanks to the alembic’s association with alchemy, this emoji may also convey a sense of magic. And, thanks to its resemblance to a glass pipe, some use the emoji\xa0to represent\xa0a bong or other drug paraphernalia.', 'Samsung’s design previously featured\xa0a copper still, as used for making whiskey.']",[],['\nAlembic was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015.\n']
alien-monster,"['A friendly-looking, tentacled space creature with two eyes. Most major platforms style their design after aliens in classic arcade games like Space Invaders, rendering it purple and pixellated, as if in 8-bit graphics.', 'Samsung’s design resembles an octopus and previously featured a big-brained alien, à la Star Trek. Earlier designs from Google and Microsoft depicted more cartoon-like alien monsters.', 'May be used of topics concerning extraterrestrial life,\xa0outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as\xa0conveying a\xa0sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting\xa0Yay! on many platforms.']",[],['\nAlien Monster was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
alien,"['A classic alien face. The oval, bare head of a gray or green alien with large black eyes and a slight, friendly smile.\xa0Samsung depicts nostrils, Facebook a nose.', 'May represent extraterrestrial life or topics concerning outer space, but commonly conveys a playful sense of weirdness\xa0or strangeness, as if someone or something is\xa0out\xa0there or\xa0from another planet.', 'Available as an Apple\xa0Animoji.', 'Apple previously displayed\xa0a similar looking\xa0alien head in a box as a placeholder for an unknown emoji, but now shows a boxed question mark.']",[],['\nAlien was approved as part of Unicode 6.0 in 2010 under the name “Extraterrestrial Alien” and added to Emoji 1.0 in 2015.\n']
ambulance,"['An ambulance, used to transport patients between their home and the hospital.']",[],['\nAmbulance was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
american-football,"['The oval ball used in the game of American football, known as gridiron in some countries.']",[],['\nAmerican Football was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
amphora,"['A tall, ceramic jar with two handles and a narrow neck and foot. Represents an amphora, as used by ancient Greeks and Romans to hold water and wine.', 'Generally depicted as brownish-red earthenware ornamented with black and a Greek meander pattern.', 'May represent containers like vases, pottery, museums, history, and antiquity. May also be used in relation to the zodiac sign of Aquarius, the Water-Bearer.', 'Not to be confused with ⚱️\xa0Funeral Urn.']",[],['\nAmphora was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.\n']
anatomical-heart,"['A red anatomical heart, shown with blue or purple veins on some platforms.', 'Sometimes used interchangeably with ❤️ Red Heart.']",[],['\nAnatomical Heart was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.\n']
anchor,"['A metal device, dropped out of a boat to prevent it drifting away from the current location.', 'An anchor also refers to a place on a webpage that may be directly\xa0linked to, rather than simply loading a page and requiring a user to scroll to the correct location.']",[],['\nAnchor was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015.\n']
